x1 x2 RESULT
2.833993 1.279883 26.500357
-0.988624 -3.117908 13.345212
-2.529513 -2.654604 48.915292
-3.362011 -0.418071 46.653006
-3.317740 2.223194 38.402557
-4.936044 -4.602974 64.327426
-3.238527 1.080396 22.184007
-2.880321 -4.550914 51.196248
-4.674019 -1.319170 52.391918
-0.333238 -0.029883 15.282506
2.449161 -0.440649 44.999404
1.406828 3.277040 42.743772
-4.433823 -2.343277 59.828591
-2.363947 -3.437293 53.200405
-1.677088 0.573826 36.507850
-2.468349 -1.540141 47.951313
2.234812 -1.886777 20.026978
0.614826 -3.270909 39.895126
-4.644080 -5.086372 65.050090
-2.261035 -0.694093 29.727825
2.562202 -0.999108 26.809192
3.374894 1.625559 48.144911
-0.116531 2.081298 8.184746
3.745943 3.461648 55.981024
-3.507848 4.520248 72.644665
-0.697705 2.326707 33.762547
0.722083 -0.121827 15.070696
2.514052 -2.827047 39.619584
0.809450 -0.109569 9.295796
-1.014674 4.139268 21.795967
0.913906 1.477620 24.347661
1.155792 -1.687706 22.419490
-0.482122 1.727379 34.569814
0.063247 3.157813 15.281285
1.392768 4.389321 56.698600
-1.813140 -0.227848 18.088122
2.133691 4.118940 27.508611
-0.790223 4.571922 48.022678
1.628906 -0.533518 39.612471
2.298719 1.560194 40.025129
3.037214 4.598888 48.777602
3.228221 0.131708 22.307761
0.251564 -0.805098 17.416564
1.349007 -1.062247 19.530602
1.695028 0.722096 28.524554
1.532521 3.144150 35.855062
2.576206 -0.763433 35.252074
-3.160640 1.869316 21.345637
-2.062769 2.312009 24.166427
0.901546 0.485072 22.857224
2.762014 0.007446 16.885549
-1.290940 -0.376236 31.477940
-2.226886 0.222044 21.813636
-4.375992 2.113665 43.175553
2.129687 3.223761 26.427246
0.946037 3.958432 17.472631
-0.504278 -0.722294 32.504459
0.457665 -2.586459 45.107922
2.378914 4.164815 45.147288
2.740402 2.400815 41.996556
3.218401 3.365708 46.360168
1.735223 -0.179126 19.662815
2.097166 1.679677 23.302039
0.580052 4.429386 57.749198
-1.675035 0.591565 36.083816
-0.414241 2.443806 44.109979
2.268490 0.099716 18.214481
-2.375959 4.358998 58.085201
1.299758 2.221787 27.938062
0.986757 1.412304 21.522839
-0.491576 -0.302919 33.583497
-0.640342 -2.620381 40.907370
2.256677 0.741331 26.606013
0.870987 2.092059 9.871530
0.863588 3.520791 36.510258
2.184036 -0.085279 12.151832
1.332846 0.691848 30.801633
0.797060 1.084428 10.271675
-2.135808 3.996581 23.961691
-1.993112 3.684190 31.573263
1.568160 2.153203 30.478460
1.502434 3.346079 49.129163
0.878686 1.119003 7.458897
-1.192954 2.678747 29.419679
1.413485 -0.887004 23.759535
-0.093565 -0.602419 20.050383
2.569328 1.577989 46.980900
0.950038 0.704945 14.681453
0.961070 1.523231 23.435216
-0.432856 -0.866507 23.377577
2.229942 3.021991 22.943419
2.255006 2.437647 40.584019
-1.055929 2.305942 20.486480
0.072476 1.193382 8.965620
1.020005 2.306806 19.934566
0.568378 0.214627 27.256021
1.748337 1.900426 18.666914
0.489292 -0.590046 39.006673
1.236600 0.009481 10.706068
2.233469 1.665036 31.812400
-0.816172 -0.259958 17.320024
0.133902 0.540654 23.321051
