x RESULT
-2.952733 9.156412
1.439852 21.367500
-2.625722 23.933341
-3.099163 11.483839
-4.990143 24.920702
-0.363572 16.677720
-1.272372 13.019948
-3.446127 31.308345
-1.266458 12.636167
-2.067277 5.153856
-0.200759 6.995500
1.551897 21.881447
0.183014 5.947796
-1.990143 3.979842
0.020024 0.079444
-2.422177 24.695076
-3.164727 14.910301
-3.626051 30.172461
-4.211521 25.342716
1.422974 20.876424
0.561145 19.585929
-3.269088 21.883418
-2.083724 5.693946
-1.308969 15.334314
-2.692801 20.768210
-4.191499 23.975142
-1.573514 21.428019
1.077467 2.322302
-2.094709 6.106728
-0.740574 11.140357
-0.975927 1.066605
1.555830 21.811613
-3.572507 31.742893
-3.063632 10.174506
-2.133792 7.883201
-2.287766 17.584603
3.319767 25.265419
2.789409 15.329886
-1.103375 3.253721
-3.466245 31.790783
0.012581 0.031385
-2.491146 26.190342
3.287170 23.119773
0.674544 15.020426
1.482998 22.142275
0.502389 20.251268
-2.806685 14.390660
-2.817403 13.828192
0.015508 0.047673
0.002884 0.001650
-2.293914 17.986393
-2.164709 9.579826
-4.915341 25.542277
1.033272 1.285374
1.470416 21.989859
-1.049849 1.588699
0.341191 15.537732
2.296994 18.186177
1.056273 1.734289
0.498848 20.248588
-1.877746 6.333908
-0.208536 7.467580
0.421556 18.987469
-2.632131 23.675358
-0.643858 16.600154
-0.898151 2.785325
0.105090 2.112957
2.236072 14.126034
4.425485 38.508777
3.056640 9.969650
-1.269390 12.826631
-1.831875 8.435314
-0.377470 17.322429
-1.366059 18.529007
0.693654 13.948000
-0.807453 7.119973
-1.480307 22.114850
1.944392 4.384858
-2.196490 11.525391
2.267686 16.251385
-2.147708 8.618893
1.255625 11.929974
-1.179246 7.089996
-1.679897 17.085713
-1.265985 12.605420
-1.039476 1.386538
-1.765788 12.127622
1.512685 22.256470
1.977953 4.008091
-1.797041 10.316538
1.369519 18.698992
-2.057304 4.873716
-1.947339 4.334552
1.370116 18.728008
-0.241504 9.524743
