X RESULT
1.346629 1.813410
4.164556 17.343525
4.125423 17.019119
-2.022425 4.090203
-3.325613 11.059702
-4.809855 23.134708
-0.985346 0.970907
-0.968184 0.937381
-0.166025 0.027564
-4.036456 16.292975
-0.601878 0.362257
-2.421094 5.861695
-0.543878 0.295803
-0.059091 0.003492
-0.638060 0.407121
-2.596243 6.740480
-0.216385 0.046823
-4.222387 17.828550
-2.578970 6.651088
-1.975269 3.901687
-0.697539 0.486560
0.949328 0.901224
-0.974173 0.949014
-0.800044 0.640071
-0.832307 0.692735
-3.360985 11.296219
-2.806117 7.874293
-1.172895 1.375682
-1.785565 3.188241
-0.830831 0.690280
-2.634572 6.940972
-1.080146 1.166715
-2.498993 6.244964
-2.705291 7.318597
-1.148014 1.317936
-1.847082 3.411710
-1.912812 3.658850
-1.326388 1.759306
-2.398012 5.750460
-1.426783 2.035710
-1.596462 2.548692
-2.271245 5.158555
-1.710469 2.925704
-1.730822 2.995744
-1.496010 2.238045
-2.213046 4.897575
-1.965364 3.862655
-1.880494 3.536259
-1.289739 1.663427
-1.488998 2.217115
-1.390870 1.934519
-1.388354 1.927526
-1.940096 3.763973
-1.663439 2.767029
-1.947738 3.793682
-1.692176 2.863461
-1.637327 2.680838
-1.635709 2.675545
-1.955057 3.822249
-1.921537 3.692303
-1.731214 2.997102
-1.534812 2.355649
-1.852274 3.430917
-1.636725 2.678870
-1.838541 3.380235
-1.769102 3.129723
-1.653379 2.733661
-1.641034 2.692991
-1.650118 2.722890
-1.589887 2.527742
-1.757106 3.087423
-1.868859 3.492633
-1.743582 3.040077
-1.725185 2.976265
-1.704336 2.904761
-1.708525 2.919059
-1.779409 3.166298
-1.795564 3.224050
-1.671040 2.792373
-1.696890 2.879436
-1.779468 3.166505
-1.746816 3.051366
-1.777076 3.157998
-1.725223 2.976395
-1.687291 2.846952
-1.741243 3.031928
-1.672969 2.798824
-1.733837 3.006191
-1.749380 3.060329
-1.740742 3.030183
-1.775515 3.152453
-1.715051 2.941399
-1.761321 3.102250
-1.751216 3.066756
-1.750949 3.065823
-1.718205 2.952228
-1.699587 2.888597
-1.704863 2.906559
-1.726821 2.981911
-1.714007 2.937821
-1.728962 2.989310
-1.721678 2.964176
-1.724828 2.975030
-1.716489 2.946334
-1.743715 3.040541
-1.750343 3.063701
-1.746977 3.051928
-1.739813 3.026951
-1.729134 2.989904
-1.721561 2.963773
-1.724122 2.972597
-1.724885 2.975227
-1.734187 3.007405
-1.743103 3.038410
-1.730791 2.995637
-1.740442 3.029138
-1.719360 2.956199
-1.742340 3.035749
-1.722452 2.966840
-1.731989 2.999787
-1.728180 2.986608
-1.724975 2.975538
-1.726681 2.981428
-1.740615 3.029740
-1.735651 3.012484
-1.724597 2.974236
-1.736697 3.016118
-1.730230 2.993695
-1.726001 2.979080
-1.726441 2.980598
-1.736964 3.017044
-1.737432 3.018672
-1.733374 3.004587
-1.737637 3.019382
-1.734848 3.009696
-1.733329 3.004429
-1.732710 3.002284
-1.732364 3.001084
-1.730497 2.994619
-1.733814 3.006110
-1.734129 3.007202
-1.730477 2.994549
-1.730090 2.993211
-1.732817 3.002655
-1.729758 2.992064
-1.734748 3.009350
-1.730219 2.993657
-1.732388 3.001167
-1.731978 2.999748
-1.733655 3.005560
-1.730045 2.993055
-1.733818 3.006124
-1.732298 3.000858
-1.730391 2.994252
-1.730731 2.995429
-1.730965 2.996241
-1.732474 3.001466
-1.730951 2.996193
-1.731405 2.997763
-1.731754 2.998971
-1.733285 3.004276
-1.732592 3.001874
-1.731767 2.999016
-1.730918 2.996078
-1.731985 2.999772
-1.732439 3.001345
-1.731949 2.999646
-1.731741 2.998927
-1.732833 3.002709
-1.732695 3.002231
-1.731208 2.997081
-1.731447 2.997909
-1.732431 3.001318
-1.731591 2.998408
-1.732168 3.000406
-1.731965 2.999703
-1.731945 2.999634
-1.732032 2.999935
-1.732399 3.001208
-1.731654 2.998626
-1.731828 2.999228
-1.732130 3.000273
-1.731850 2.999305
-1.732427 3.001304
-1.731769 2.999024
-1.731918 2.999541
-1.732371 3.001108
-1.731710 2.998819
-1.731723 2.998866
-1.732217 3.000576
-1.732262 3.000730
-1.732073 3.000076
-1.732221 3.000590
-1.731895 2.999461
-1.731981 2.999758
-1.731927 2.999573
-1.732050 2.999997
-1.732126 3.000262
-1.732021 2.999896
-1.731919 2.999543
-1.732178 3.000441
-1.732145 3.000328
-1.732042 2.999969
-1.731897 2.999466
-1.732152 3.000351
-1.732105 3.000189
-1.732073 3.000077
-1.731949 2.999647
-1.731991 2.999792
-1.732109 3.000202
-1.732006 2.999844
-1.731951 2.999655
-1.732055 3.000016
-1.732013 2.999870
-1.732048 2.999989
-1.732052 3.000003
-1.732120 3.000239
-1.731994 2.999803
-1.731986 2.999775
-1.732045 2.999978
-1.732011 2.999862
-1.731999 2.999820
-1.732051 2.999999
-1.732037 2.999954
-1.732097 3.000162
-1.732018 2.999888
-1.732025 2.999909
-1.732095 3.000154
-1.732016 2.999878
-1.732088 3.000128
-1.732075 3.000084
-1.732023 2.999904
-1.732076 3.000088
-1.732078 3.000094
-1.732041 2.999965
-1.732074 3.000080
-1.732080 3.000100
-1.732031 2.999933
-1.732058 3.000024
-1.732037 2.999951
-1.732056 3.000018
-1.732046 2.999983
-1.732051 3.000001
-1.732052 3.000003
-1.732063 3.000042
-1.732058 3.000026
-1.732063 3.000042
-1.732036 2.999949
-1.732050 2.999996
-1.732057 3.000021
-1.732049 2.999995
-1.732040 2.999963
-1.732054 3.000012
-1.732042 2.999968
-1.732061 3.000034
-1.732056 3.000019
-1.732054 3.000012
-1.732049 2.999994
-1.732043 2.999974
-1.732054 3.000011
-1.732052 3.000004
-1.732048 2.999990
-1.732046 2.999982
-1.732046 2.999983
-1.732052 3.000005
-1.732045 2.999982
-1.732051 3.000002
-1.732056 3.000020
-1.732052 3.000005
-1.732053 3.000008
-1.732046 2.999982
-1.732048 2.999992
-1.732054 3.000012
-1.732055 3.000014
-1.732053 3.000008
-1.732053 3.000009
-1.732049 2.999993
-1.732048 2.999990
-1.732053 3.000009
-1.732050 2.999997
-1.732052 3.000006
-1.732049 2.999994
-1.732048 2.999990
-1.732050 2.999998
-1.732052 3.000005
-1.732051 2.999999
-1.732052 3.000003
-1.732050 2.999998
-1.732050 2.999998
-1.732050 2.999997
-1.732050 2.999997
-1.732051 3.000000
-1.732050 2.999996
-1.732051 3.000002
-1.732050 2.999996
-1.732050 2.999997
-1.732052 3.000004
-1.732052 3.000002
-1.732052 3.000004
-1.732051 3.000001
-1.732051 3.000001
