X RESULT
1.373486 1.886462
4.191412 17.567935
3.364399 11.319178
1.874086 3.512197
2.265919 5.134387
1.590291 2.529026
3.730690 13.918051
2.341807 5.484061
2.090241 4.369107
1.992024 3.968158
4.371156 19.107008
1.968406 3.874623
1.879889 3.533984
1.870051 3.497092
3.185129 10.145046
3.860070 14.900142
2.062123 4.252352
3.507545 12.302874
3.585370 12.854881
4.482804 20.095528
2.902426 8.424076
4.850895 23.531184
4.071076 16.573659
4.675735 21.862495
4.056215 16.452883
4.346395 18.891149
3.880366 15.057241
3.599724 12.958010
4.659090 21.707118
4.639357 21.523636
4.080182 16.647889
4.340811 18.842642
3.883011 15.077778
4.515786 20.392320
4.071564 16.577631
4.613230 21.281895
4.828086 23.310419
4.890741 23.919346
4.258921 18.138408
4.749875 22.561311
4.965094 24.652156
4.484963 20.114889
4.964106 24.642352
4.898054 23.990929
4.835374 23.380845
4.605985 21.215096
4.747956 22.543087
4.827948 23.309082
4.705790 22.144463
4.896806 23.978709
4.683329 21.933570
4.582224 20.996777
4.929456 24.299538
4.813109 23.166015
4.670000 21.808903
4.818957 23.222345
4.710628 22.190017
4.911660 24.124403
4.808027 23.117126
4.985611 24.856316
4.845938 23.483113
4.975657 24.757159
4.916676 24.173706
4.949454 24.497092
4.817498 23.208291
4.971239 24.713216
4.912715 24.134766
4.823213 23.263384
4.859340 23.613187
4.851798 23.539940
4.970396 24.704839
4.945574 24.458705
4.898769 23.997938
4.938420 24.387991
4.925392 24.259484
4.941218 24.415633
4.996349 24.963503
4.945972 24.462635
4.943106 24.434293
4.962106 24.622496
4.913623 24.143687
4.943565 24.438834
4.997500 24.975011
4.951507 24.517425
4.971477 24.715585
4.943230 24.435526
4.988248 24.882614
4.971532 24.716129
4.965896 24.660126
4.991440 24.914472
4.958790 24.589601
4.955146 24.553471
4.986724 24.867415
4.953556 24.537718
4.975259 24.753207
4.987079 24.870953
4.991894 24.919005
4.994589 24.945918
4.983738 24.837644
4.970040 24.701300
4.975890 24.759477
4.997629 24.976293
4.997427 24.974278
4.993824 24.938274
4.997737 24.977377
4.981825 24.818583
4.994467 24.944701
4.978834 24.788790
4.995971 24.959723
4.998892 24.988917
4.980574 24.806122
4.982541 24.825718
4.995210 24.952125
4.990551 24.905595
4.997674 24.976747
4.984825 24.848478
4.998943 24.989432
4.993670 24.936742
4.999421 24.994206
4.992126 24.921326
4.997235 24.972357
4.993728 24.937315
4.991403 24.914106
4.995691 24.956928
4.993558 24.935621
4.993504 24.935084
4.994703 24.947063
4.996241 24.962420
4.994022 24.940257
4.996623 24.966238
4.997056 24.970567
4.994742 24.947444
4.995313 24.953155
4.996450 24.964516
4.995674 24.956764
4.999028 24.990284
4.999754 24.997541
4.998826 24.988261
4.996848 24.968492
4.995646 24.956478
4.997031 24.970322
4.998276 24.982759
4.999141 24.991413
4.998649 24.986490
4.998319 24.983196
4.998670 24.986703
4.999597 24.995967
4.998959 24.989594
4.999837 24.998365
4.997472 24.974729
4.998410 24.984101
4.998784 24.987839
4.999814 24.998144
4.999072 24.990724
4.998091 24.980911
4.998163 24.981634
4.999489 24.994887
4.998240 24.982405
4.998836 24.988366
4.999436 24.994361
4.998705 24.987053
4.998737 24.987367
4.999588 24.995880
4.999818 24.998176
4.999633 24.996329
4.999085 24.990850
4.999591 24.995912
4.999065 24.990655
4.999845 24.998453
4.999468 24.994685
4.999244 24.992443
4.999380 24.993799
4.999644 24.996437
4.999487 24.994868
4.999640 24.996402
4.999241 24.992413
4.999567 24.995672
4.999351 24.993513
4.999845 24.998448
4.999811 24.998108
4.999493 24.994934
4.999915 24.999152
4.999924 24.999238
4.999947 24.999475
4.999846 24.998458
4.999695 24.996949
4.999834 24.998337
4.999775 24.997747
4.999896 24.998960
4.999624 24.996235
4.999756 24.997561
4.999739 24.997389
4.999725 24.997254
4.999707 24.997071
4.999835 24.998346
4.999991 24.999911
4.999849 24.998495
4.999999 24.999985
4.999907 24.999073
4.999870 24.998703
4.999999 24.999993
4.999977 24.999768
