X RESULT
1.310617 1.717718
4.128544 17.044875
3.301531 10.900104
1.811217 3.280509
2.203050 4.853431
1.527423 2.333021
3.667822 13.452921
2.278939 5.193563
2.027373 4.110241
1.929156 3.721641
4.308288 18.561348
1.905538 3.631075
1.817021 3.301566
1.807183 3.265911
3.122261 9.748512
3.797202 14.418744
1.999255 3.997021
3.444677 11.865801
3.522502 12.408022
4.419935 19.535829
4.940471 24.408252
3.239175 10.492256
3.920407 15.369594
4.576326 20.942764
4.145791 17.187583
4.435971 19.677835
3.969942 15.760437
3.689299 13.610929
4.748665 22.549823
4.728933 22.362806
4.169758 17.386882
4.430387 19.628328
3.972587 15.781448
4.605361 21.209352
4.161139 17.315080
4.702806 22.116384
4.917662 24.183400
4.980316 24.803552
4.348497 18.909423
4.839450 23.420281
4.885445 23.867577
4.500185 20.251668
4.979329 24.793719
4.913276 24.140285
4.850597 23.528292
4.621208 21.355559
4.763179 22.687872
4.843171 23.456303
4.721013 22.287965
4.912029 24.128026
4.698552 22.076388
4.597447 21.136516
4.944679 24.449850
4.828331 23.312785
4.685223 21.951315
4.834180 23.369293
4.725851 22.333666
4.926883 24.274173
4.823250 23.263740
4.942258 24.425910
4.903935 24.048575
4.940253 24.406100
4.794042 22.982841
4.964392 24.645186
4.899545 24.005542
4.800374 23.043593
4.840404 23.429514
4.832047 23.348677
4.963458 24.635917
4.935955 24.363648
4.884093 23.854363
4.928027 24.285453
4.913592 24.143383
4.931127 24.316017
4.992215 24.922206
4.936395 24.367993
4.933219 24.336651
4.954272 24.544813
4.900551 24.015400
4.933728 24.341673
4.993491 24.934947
4.942529 24.428589
4.964656 24.647807
4.933357 24.338015
4.983238 24.832661
4.964716 24.648409
4.958472 24.586445
4.986775 24.867926
4.950598 24.508424
4.946560 24.468458
4.981550 24.815837
4.944799 24.451033
4.968847 24.689438
4.981943 24.819753
4.987278 24.872944
4.990264 24.902739
4.978241 24.782885
4.963064 24.632001
4.969545 24.696376
4.993633 24.936367
4.993409 24.934135
4.989416 24.894276
4.993753 24.937567
4.976122 24.761788
4.990129 24.901391
4.972808 24.728816
4.991795 24.918022
4.995032 24.950343
4.974736 24.747997
4.976915 24.769685
4.990953 24.909610
4.985790 24.858100
4.993683 24.936870
4.979445 24.794876
4.998233 24.982331
4.987396 24.874122
4.993966 24.939693
4.990151 24.901604
4.995811 24.958129
4.991925 24.919314
4.989349 24.893607
4.994100 24.941037
4.991737 24.917437
4.991677 24.916843
4.999919 24.999188
4.996395 24.963967
4.993937 24.939409
4.996819 24.968197
4.997299 24.972994
4.994734 24.947373
4.995368 24.953700
4.996628 24.966289
4.995768 24.957699
4.999484 24.994843
4.995970 24.959713
4.996732 24.967334
4.997637 24.976380
4.997439 24.974395
4.999166 24.991665
4.998562 24.985621
4.998157 24.981577
4.998588 24.985883
4.999726 24.997256
4.998943 24.989431
4.997121 24.971213
4.997414 24.974147
4.998167 24.981676
4.998626 24.986265
4.999892 24.998917
4.998981 24.989807
4.997775 24.977760
4.997864 24.978647
4.999492 24.994918
4.997959 24.979594
4.998691 24.986912
4.999427 24.994272
4.998530 24.985300
4.998568 24.985686
4.999614 24.996137
4.999896 24.998956
4.999669 24.996689
4.998996 24.989962
4.999618 24.996176
4.998972 24.989722
4.999930 24.999297
4.999467 24.994670
4.999192 24.991918
4.999358 24.993582
4.999682 24.996821
4.999489 24.994894
4.999678 24.996778
4.999188 24.991880
4.999588 24.995882
4.999323 24.993232
4.999929 24.999291
4.999887 24.998873
4.999498 24.994976
4.999342 24.993424
4.999791 24.997913
4.999586 24.995861
4.999775 24.997749
4.999695 24.996947
4.999860 24.998596
4.999489 24.994890
4.999669 24.996693
4.999646 24.996460
4.999627 24.996275
4.999603 24.996027
4.999776 24.997761
4.999989 24.999890
4.999796 24.997964
4.999999 24.999991
4.999875 24.998750
4.999825 24.998247
4.999905 24.999048
4.999823 24.998233
4.999794 24.997942
4.999976 24.999757
4.999991 24.999911
4.999958 24.999581
4.999977 24.999773
4.999878 24.998781
4.999888 24.998876
4.999939 24.999393
4.999968 24.999684
4.999973 24.999732
4.999947 24.999473
4.999974 24.999736
4.999906 24.999059
4.999947 24.999469
4.999948 24.999481
4.999993 24.999928
4.999974 24.999736
4.999980 24.999802
4.999917 24.999168
4.999973 24.999730
4.999995 24.999948
4.999982 24.999821
4.999950 24.999499
4.999951 24.999505
4.999934 24.999342
4.999994 24.999941
4.999981 24.999807
4.999996 24.999964
4.999951 24.999507
4.999954 24.999537
4.999956 24.999556
4.999965 24.999653
4.999961 24.999610
4.999992 24.999920
4.999970 24.999699
4.999999 24.999988
4.999972 24.999715
4.999988 24.999878
4.999992 24.999917
4.999982 24.999819
4.999993 24.999932
4.999999 24.999986
4.999992 24.999921
4.999981 24.999806
4.999999 24.999986
4.999998 24.999980
4.999985 24.999853
4.999982 24.999819
4.999992 24.999923
4.999992 24.999921
4.999992 24.999924
4.999992 24.999918
4.999984 24.999839
4.999998 24.999979
4.999992 24.999920
4.999987 24.999865
4.999996 24.999955
4.999996 24.999963
4.999989 24.999888
4.999988 24.999882
4.999996 24.999964
4.999990 24.999896
4.999993 24.999934
4.999992 24.999922
4.999999 24.999993
4.999999 24.999994
4.999993 24.999933
4.999997 24.999973
5.000000 25.000000
4.999997 24.999965
4.999999 24.999993
4.999995 24.999952
4.999998 24.999984
4.999999 24.999989
4.999995 24.999951
4.999998 24.999976
4.999997 24.999973
4.999997 24.999967
4.999997 24.999968
5.000000 24.999998
4.999997 24.999968
4.999997 24.999975
4.999999 24.999994
