X RESULT
1.282846 1.645693
4.100772 16.816332
4.061640 16.496918
-2.086209 4.352267
-1.762985 3.108117
1.221820 1.492845
1.791760 3.210403
2.859944 8.179282
2.891060 8.358229
3.116497 9.712556
1.745666 3.047349
0.167676 0.028115
-2.060082 4.243938
-0.648133 0.420076
-2.285844 5.225083
-0.179398 0.032184
2.165016 4.687296
2.024249 4.097583
-1.110725 1.233710
-0.422745 0.178713
-1.131916 1.281235
0.268438 0.072059
0.637460 0.406355
1.285781 1.653233
-0.577570 0.333588
0.851601 0.725224
1.200173 1.440416
0.675262 0.455979
0.884168 0.781752
-0.100003 0.010001
-0.684166 0.468083
-0.470857 0.221706
0.401503 0.161205
-0.588937 0.346847
0.030265 0.000916
-0.234637 0.055055
0.832956 0.693816
0.722327 0.521757
-0.113144 0.012802
-0.308114 0.094934
0.525386 0.276030
-0.335187 0.112351
0.470945 0.221789
0.243561 0.059322
0.315096 0.099285
-0.024521 0.000601
-0.297756 0.088659
-0.201640 0.040659
-0.229184 0.052525
-0.151469 0.022943
0.054850 0.003008
-0.177509 0.031510
-0.034560 0.001194
-0.006984 0.000049
-0.285065 0.081262
-0.068983 0.004759
0.025741 0.000663
0.259158 0.067163
-0.044668 0.001995
0.173722 0.030179
0.054295 0.002948
0.068348 0.004671
0.039097 0.001529
-0.004021 0.000016
-0.152581 0.023281
0.009841 0.000097
0.120073 0.014417
-0.043378 0.001882
-0.105151 0.011057
0.143149 0.020492
0.023555 0.000555
-0.141274 0.019958
-0.016797 0.000282
-0.058505 0.003423
-0.109808 0.012058
0.082372 0.006785
0.063006 0.003970
-0.051301 0.002632
-0.086349 0.007456
0.061941 0.003837
-0.020038 0.000402
0.070718 0.005001
0.043418 0.001885
0.022160 0.000491
-0.056465 0.003188
0.042463 0.001803
-0.040828 0.001667
0.033293 0.001108
0.034487 0.001189
-0.035204 0.001239
0.001629 0.000003
-0.035172 0.001237
0.005356 0.000029
-0.034961 0.001222
-0.015708 0.000247
0.021813 0.000476
-0.026605 0.000708
-0.033228 0.001104
0.011989 0.000144
-0.000528 0.000000
-0.019524 0.000381
-0.026449 0.000700
-0.003475 0.000012
-0.008283 0.000069
-0.017350 0.000301
-0.009669 0.000093
-0.012193 0.000149
0.011052 0.000122
-0.000649 0.000000
0.011709 0.000137
0.013416 0.000180
0.013392 0.000179
-0.016620 0.000276
-0.006514 0.000042
-0.014990 0.000225
0.004234 0.000018
0.001278 0.000002
0.007249 0.000053
-0.000346 0.000000
-0.007603 0.000058
0.001541 0.000002
0.003044 0.000009
-0.008435 0.000071
0.005507 0.000030
-0.001663 0.000003
0.001847 0.000003
0.000197 0.000000
0.002556 0.000007
-0.002110 0.000004
0.001146 0.000001
0.006185 0.000038
-0.003712 0.000014
-0.001182 0.000001
-0.001234 0.000002
0.000491 0.000000
0.002406 0.000006
-0.004186 0.000018
-0.000387 0.000000
0.000406 0.000000
-0.003658 0.000013
0.003986 0.000016
-0.003006 0.000009
0.001134 0.000001
0.003476 0.000012
0.002107 0.000004
0.003126 0.000010
0.000176 0.000000
0.002375 0.000006
0.000767 0.000001
-0.000878 0.000001
-0.001874 0.000004
0.001684 0.000003
0.001323 0.000002
-0.001241 0.000002
0.000237 0.000000
0.001487 0.000002
0.001847 0.000003
0.000419 0.000000
-0.000289 0.000000
0.001226 0.000002
0.000522 0.000000
0.000031 0.000000
-0.000073 0.000000
-0.001168 0.000001
0.000277 0.000000
-0.000803 0.000001
-0.000297 0.000000
0.000284 0.000000
0.000177 0.000000
-0.000818 0.000001
0.000586 0.000000
0.000403 0.000000
-0.000086 0.000000
0.000342 0.000000
0.000436 0.000000
-0.000233 0.000000
-0.000471 0.000000
-0.000203 0.000000
0.000144 0.000000
-0.000215 0.000000
0.000258 0.000000
-0.000377 0.000000
0.000472 0.000000
0.000467 0.000000
-0.000210 0.000000
0.000313 0.000000
-0.000067 0.000000
-0.000224 0.000000
0.000166 0.000000
-0.000069 0.000000
-0.000078 0.000000
-0.000184 0.000000
0.000087 0.000000
-0.000210 0.000000
0.000059 0.000000
-0.000092 0.000000
-0.000125 0.000000
0.000015 0.000000
0.000078 0.000000
-0.000062 0.000000
-0.000119 0.000000
-0.000093 0.000000
0.000031 0.000000
-0.000139 0.000000
0.000124 0.000000
-0.000084 0.000000
0.000022 0.000000
0.000023 0.000000
0.000041 0.000000
0.000014 0.000000
-0.000053 0.000000
-0.000023 0.000000
0.000076 0.000000
0.000067 0.000000
-0.000014 0.000000
0.000039 0.000000
-0.000011 0.000000
-0.000084 0.000000
0.000034 0.000000
-0.000052 0.000000
-0.000064 0.000000
-0.000048 0.000000
0.000029 0.000000
0.000004 0.000000
-0.000038 0.000000
-0.000002 0.000000
-0.000046 0.000000
-0.000044 0.000000
-0.000011 0.000000
-0.000042 0.000000
-0.000027 0.000000
-0.000012 0.000000
-0.000030 0.000000
0.000014 0.000000
0.000026 0.000000
0.000015 0.000000
-0.000008 0.000000
-0.000003 0.000000
-0.000007 0.000000
-0.000019 0.000000
0.000007 0.000000
-0.000016 0.000000
0.000019 0.000000
-0.000018 0.000000
-0.000002 0.000000
0.000004 0.000000
-0.000000 0.000000
-0.000006 0.000000
0.000008 0.000000
-0.000007 0.000000
0.000012 0.000000
-0.000008 0.000000
0.000011 0.000000
0.000010 0.000000
-0.000010 0.000000
-0.000010 0.000000
-0.000005 0.000000
-0.000008 0.000000
-0.000000 0.000000
-0.000001 0.000000
-0.000006 0.000000
0.000001 0.000000
-0.000000 0.000000
0.000000 0.000000
0.000003 0.000000
0.000002 0.000000
-0.000000 0.000000
-0.000004 0.000000
0.000002 0.000000
0.000004 0.000000
-0.000003 0.000000
0.000003 0.000000
0.000003 0.000000
-0.000003 0.000000
0.000003 0.000000
0.000001 0.000000
-0.000001 0.000000
0.000003 0.000000
0.000002 0.000000
0.000002 0.000000
0.000002 0.000000
-0.000003 0.000000
-0.000001 0.000000
0.000000 0.000000
0.000002 0.000000
-0.000000 0.000000
-0.000001 0.000000
-0.000000 0.000000
0.000001 0.000000
-0.000001 0.000000
0.000001 0.000000
-0.000001 0.000000
0.000001 0.000000
